ages hosp_cases_ratio_female hosp_cases_ratio_male
0 0.0011643638137905032 0.0017301400889187149
1 0.0011157359758818869 0.0016639965884468215
2 0.0010788871521225012 0.001612118290866152
3 0.001046631242906166 0.0015624844991617146
4 0.00104845936385477 0.0015637311844552935
5 0.0009082078942390635 0.00132411199892567
6 0.0007612171494735941 0.001072671174423948
7 0.0006141619811950292 0.0008274889795834972
8 0.0005017534574367873 0.0006229581538589592
9 0.00038193913973417034 0.0004105677489762294
10 0.00038813141006080644 0.0004190530304088518
11 0.00038495358383667535 0.00041746010676768245
12 0.00039819940888094143 0.0004332829774416428
13 0.00040456307129454653 0.00044555952019460695
14 0.00042141938339141765 0.00046740083653064725
15 0.000526611518495843 0.0005113080897120722
16 0.0006441455394961452 0.0005617033225146237
17 0.0007560908331025953 0.0006066493561192674
18 0.0008384541056044434 0.0006338484708896873
19 0.0009097893441370253 0.0006451000537498815
20 0.0010215515418730056 0.0007447960616307013
21 0.0011574499267435728 0.000854222324150034
22 0.0012573208131612796 0.0009441329796206188
23 0.0013919357681028588 0.0010504876083001432
24 0.0015229291910299606 0.0011739765862370526
25 0.0017733203983737636 0.0012682619406037914
26 0.0020344292948816845 0.001394014945986439
27 0.0022230181783965473 0.0014843393175104508
28 0.0024557263768265137 0.001555620544837898
29 0.0027646198659900026 0.0016978890214209784
30 0.0028958991501039626 0.0019291583586278718
31 0.002976192076439154 0.00211970121259326
32 0.003157966461795879 0.002395065425859348
33 0.003294615912739609 0.0025449542530662683
34 0.003425294669633408 0.002748212786379863
35 0.004486162044562268 0.004023375741668396
36 0.004467475267436805 0.0043911955727908795
37 0.004497210446027561 0.004805281302550817
38 0.004499682951447888 0.005148634661594901
39 0.004517652732172912 0.005523433497684676
40 0.004842293496025102 0.006291111584137187
41 0.005327869329588899 0.007340013875288212
42 0.005532017457677729 0.008066851989373233
43 0.005538735135886817 0.008572507010255834
44 0.005560911612628379 0.008996973301028676
45 0.0057334979550411275 0.009297980623744376
46 0.00601545483715228 0.00972042098469331
47 0.006268024462545705 0.010097391880489854
48 0.0065045506393420615 0.010607849666966228
49 0.007158873971188391 0.011647010093275258
50 0.007538520127962735 0.012202461638528584
51 0.008104475003712848 0.013048441666312999
52 0.008569674171641424 0.013618874076808542
53 0.009077141437290584 0.01452955748352847
54 0.009581880401360609 0.01526442919796445
55 0.010838527355576125 0.017473762563052823
56 0.011445869032508112 0.018695047971638016
57 0.01208998860476459 0.019893213993078168
58 0.012892851512974451 0.02150032600693984
59 0.013813498506625709 0.023370609739491725
60 0.01433495711669157 0.024280182454041444
61 0.01485799983138856 0.025150920873242347
62 0.015635904402080486 0.026561821152757032
63 0.016449183869037525 0.027956415305369867
64 0.0172331911734732 0.02951500809115629
65 0.031740425757739985 0.05470114292693595
66 0.03264014102194795 0.05627356501996212
67 0.03387126254578514 0.05921343803476789
68 0.03406554905927337 0.05994659194958509
69 0.033744469005456953 0.060037443141381486
70 0.03555934218959218 0.06180760507358506
71 0.036103635191546773 0.062107189625264625
72 0.03575366855325955 0.06050944582350648
73 0.04884565017911923 0.08210862527521628
74 0.0533689095719017 0.08908048714897913
75 0.054716900021983456 0.09025680168301782
76 0.06126473188127181 0.10112510485648334
77 0.071148530148803 0.11705068827063626
78 0.08204180121871238 0.13451058058459153
79 0.0831086761616394 0.13550484449085148
80 0.08800176537437528 0.14161804144303408
81 0.09499838854340913 0.15080527801952495
82 0.1042328109502183 0.16458407059736044
83 0.11446686214006037 0.1799681348021224
84 0.12619520261580586 0.1967273821371537
85 0.1376229884948334 0.21330873952269397
86 0.1474618193767142 0.2264671033647398
87 0.15617187218970058 0.23865624639204458
88 0.16810503973904908 0.2559048584607867
89 0.18455712319063855 0.27947989794254063
90 0.1823208227761643 0.2547297316960577
91 0.18129953924103825 0.252928149062775
92 0.1801352612207849 0.2508808094120644
93 0.17879569604661621 0.24853374565937772
94 0.17723803589292456 0.24581594152184644
95 0.17540429855348597 0.2426320214785263
96 0.17321394994661946 0.2388508268386591
97 0.170551758865006 0.23428689729807184
98 0.16724685532049688 0.22866912437959727
99 0.16303453932159187 0.22158485622351762
100 0.157481625821402 0.2123736576339925
101 0.14982702239667628 0.19990847800474493
102 0.13859903870051454 0.18209515156864128
103 0.12053355529163047 0.15455174124809287
104 0.08665054865929109 0.10631063209267111
