ages per_deaths_home
0 0.001
1 0.001
2 0.001
3 0.001
4 0.001
5 0.001
6 0.001
7 0.001
8 0.000802415418846584
9 0.0019053450671701212
10 0.0031090416204365744
11 0.004384134334833854
12 0.005701252466549876
13 0.007031025271772548
14 0.008344082006689783
15 0.009611051927489487
16 0.010802564290359574
17 0.011889248351488088
18 0.010797733285292621
19 0.009102808939740687
20 0.007220200303346575
21 0.0074947418027342
22 0.011095917678392691
23 0.012699378350836253
24 0.013063816176524749
25 0.012695330056080159
26 0.01331274220498161
27 0.01570789822591942
28 0.016442537111991916
29 0.016070747811724143
30 0.01497533504729332
31 0.014541815977645124
32 0.015427277779035537
33 0.014216267116785173
34 0.011705154550720053
35 0.008440769365341848
36 0.005553694803461409
37 0.003629032734554542
38 0.001
39 0.001
40 0.0027150892024373047
41 0.006436823977641988
42 0.007242985611127885
43 0.007943846917856053
44 0.008650635731101752
45 0.00940906477966837
46 0.010344394012863826
47 0.011440097511726628
48 0.013575251213835446
49 0.016774011225572687
50 0.021066357369974805
51 0.02666061336576039
52 0.033415507039551214
53 0.04011982275301206
54 0.04752979890548383
55 0.056226677891545514
56 0.06399815807147456
57 0.0684166015835197
58 0.07406713435256959
59 0.08107591234664371
60 0.08956874075819808
61 0.09784131186489672
62 0.10420960297942845
63 0.11115721399047832
64 0.11889347983161269
65 0.12758093770997275
66 0.13515843752257062
67 0.1398820617326812
68 0.14645446407517804
69 0.15480541870266662
70 0.16490357945552425
71 0.17509418032302368
72 0.1839612582748989
73 0.19559208578841114
74 0.21027200384789022
75 0.22730124133465177
76 0.2461610453627011
77 0.26635432111492185
78 0.2871823938264258
79 0.30785713789822805
80 0.32751362422102387
81 0.3468588242912628
82 0.36703569623329035
83 0.38764354492037384
84 0.4077380049448756
85 0.4261722550209363
86 0.44368093584526863
87 0.4620578261654761
88 0.48024653843633314
89 0.4989645225988937
90 0.5183339678262537
91 0.5384770632915116
92 0.5595159981677654
93 0.5815729616281133
94 0.6047701428456536
95 0.6292297309934843
96 0.6550739152447036
97 0.6824248847724097
98 0.7114048287497009
99 0.7421359363496752
100 0.7747403967454308
101 0.809340399110066
102 0.846058132616679
103 0.8850157864383678
104 0.9263355497482305
