"","matrix..0.10.","matrix..10.20.","matrix..20.30.","matrix..30.40.","matrix..40.50.","matrix..50.60.","matrix..60.70.","matrix.70.","participants.age.group","participants.participants","participants.proportion"
"[0,10)",5.15228426395939,1.24873096446701,1.09644670050761,2.02030456852792,1.20304568527919,0.609137055837564,0.360406091370558,0.142131979695431,"[0,10)",197,0.194856577645895
"[10,20)",1.23188405797101,8.06280193236715,1.17391304347826,1.72946859903382,1.71014492753623,0.70048309178744,0.371980676328502,0.154589371980676,"[10,20)",207,0.204747774480712
"[20,30)",1.27118644067797,1.44067796610169,3.60169491525424,1.88983050847458,1.75423728813559,1.10169491525424,0.466101694915254,0.203389830508475,"[20,30)",118,0.116716122650841
"[30,40)",1.93846153846154,1.12307692307692,1.51538461538462,2.76153846153846,1.73076923076923,1.20769230769231,0.615384615384615,0.292307692307692,"[30,40)",130,0.128585558852621
"[40,50)",0.786324786324786,1.85470085470085,1.61538461538462,2.17948717948718,2.8974358974359,1.35042735042735,0.683760683760684,0.598290598290598,"[40,50)",117,0.115727002967359
"[50,60)",0.558333333333333,0.891666666666667,1.63333333333333,1.55,1.48333333333333,1.85833333333333,0.816666666666667,0.633333333333333,"[50,60)",120,0.118694362017804
"[60,70)",0.709677419354839,0.591397849462366,1.17204301075269,1.72043010752688,1.50537634408602,1.43010752688172,1.17204301075269,0.548387096774194,"[60,70)",93,0.0919881305637982
"70+",0.275862068965517,1,0.689655172413793,0.448275862068966,1.41379310344828,0.931034482758621,1.20689655172414,1.3448275862069,"70+",29,0.0286844708209693
