,age,female,male
0,0.0,1.0,1.0
1,1.0,1.0,1.0
2,2.0,1.0,1.0
3,3.0,1.0,1.0
4,4.0,1.0,1.0
5,5.0,1.0,1.0
6,6.0,1.0,1.0
7,7.0,1.0,1.0
8,8.0,1.0,1.0
9,9.0,1.0,1.0
10,10.0,1.0,1.0
11,11.0,1.0,1.0
12,12.0,1.0,1.0
13,13.0,1.0,1.0
14,14.0,1.0,1.0
15,15.0,1.0,1.0
16,16.0,0.7859999999999999,0.7859999999999999
17,17.0,0.7859999999999999,0.7859999999999999
18,18.0,0.7859999999999999,0.7859999999999999
19,19.0,0.7859999999999999,0.7859999999999999
20,20.0,0.7859999999999999,0.7859999999999999
21,21.0,0.7859999999999999,0.7859999999999999
22,22.0,0.7859999999999999,0.7859999999999999
23,23.0,0.7859999999999999,0.7859999999999999
24,24.0,0.7859999999999999,0.7859999999999999
25,25.0,0.7859999999999999,0.7859999999999999
26,26.0,0.7859999999999999,0.7859999999999999
27,27.0,0.7859999999999999,0.7859999999999999
28,28.0,0.7859999999999999,0.7859999999999999
29,29.0,0.7859999999999999,0.7859999999999999
30,30.0,0.7859999999999999,0.7859999999999999
31,31.0,0.7859999999999999,0.7859999999999999
32,32.0,0.7859999999999999,0.7859999999999999
33,33.0,0.7859999999999999,0.7859999999999999
34,34.0,0.7859999999999999,0.7859999999999999
35,35.0,0.7859999999999999,0.7859999999999999
36,36.0,0.7859999999999999,0.7859999999999999
37,37.0,0.7859999999999999,0.7859999999999999
38,38.0,0.7859999999999999,0.7859999999999999
39,39.0,0.7859999999999999,0.7859999999999999
40,40.0,0.7440000000000001,0.7440000000000001
41,41.0,0.7440000000000001,0.7440000000000001
42,42.0,0.7440000000000001,0.7440000000000001
43,43.0,0.7440000000000001,0.7440000000000001
44,44.0,0.7440000000000001,0.7440000000000001
45,45.0,0.7440000000000001,0.7440000000000001
46,46.0,0.7440000000000001,0.7440000000000001
47,47.0,0.7440000000000001,0.7440000000000001
48,48.0,0.7440000000000001,0.7440000000000001
49,49.0,0.7440000000000001,0.7440000000000001
50,50.0,0.7440000000000001,0.7440000000000001
51,51.0,0.593,0.593
52,52.0,0.593,0.593
53,53.0,0.593,0.593
54,54.0,0.593,0.593
55,55.0,0.593,0.593
56,56.0,0.593,0.593
57,57.0,0.593,0.593
58,58.0,0.593,0.593
59,59.0,0.593,0.593
60,60.0,0.593,0.593
61,61.0,0.44299999999999995,0.44299999999999995
62,62.0,0.44299999999999995,0.44299999999999995
63,63.0,0.44299999999999995,0.44299999999999995
64,64.0,0.44299999999999995,0.44299999999999995
65,65.0,0.44299999999999995,0.44299999999999995
66,66.0,0.44299999999999995,0.44299999999999995
67,67.0,0.44299999999999995,0.44299999999999995
68,68.0,0.44299999999999995,0.44299999999999995
69,69.0,0.44299999999999995,0.44299999999999995
70,70.0,0.44299999999999995,0.44299999999999995
71,71.0,0.32899999999999996,0.32899999999999996
72,72.0,0.32899999999999996,0.32899999999999996
73,73.0,0.32899999999999996,0.32899999999999996
74,74.0,0.32899999999999996,0.32899999999999996
75,75.0,0.32899999999999996,0.32899999999999996
76,76.0,0.32899999999999996,0.32899999999999996
77,77.0,0.32899999999999996,0.32899999999999996
78,78.0,0.32899999999999996,0.32899999999999996
79,79.0,0.32899999999999996,0.32899999999999996
80,80.0,0.32899999999999996,0.32899999999999996
81,81.0,0.35,0.35
82,82.0,0.35,0.35
83,83.0,0.35,0.35
84,84.0,0.35,0.35
85,85.0,0.35,0.35
86,86.0,0.35,0.35
87,87.0,0.35,0.35
88,88.0,0.35,0.35
89,89.0,0.35,0.35
90,90.0,0.35,0.35
91,91.0,0.35,0.35
92,92.0,0.35,0.35
93,93.0,0.35,0.35
94,94.0,0.35,0.35
95,95.0,0.35,0.35
96,96.0,0.35,0.35
97,97.0,0.35,0.35
98,98.0,0.35,0.35
99,99.0,0.35,0.35
