f,m
79.04076391723319,73.67054756235834
79.71639198375858,74.75238853248213
79.9279849970914,75.09039749272824
80.47557030232532,75.25730270930232
80.70805826518698,75.71277314252347
80.82910026785709,75.94383795238096
80.96029012895667,76.06643632473615
81.28434281341981,76.38870692760426
81.23523970743119,76.35981023405502
81.46307096717473,76.5438815943731
81.2468842708335,76.415297199074
81.6465065645255,76.83191848556261
81.65051365740734,76.91501239004637
81.62987229999999,76.95037053529411
81.79313775510211,76.98793177259482
81.94480152392204,77.33028908446578
82.02223866551164,77.14189090121334
81.96644201636478,77.30467715955575
81.91979870629385,77.27501487762235
81.80518064591871,77.19044682912532
82.17940830367719,77.55747167852934
82.12825934407368,77.58080887802078
82.29160688014134,77.54688399529955
82.11340525171642,77.73215809496594
82.34716002969087,77.75539154394303
82.32745773148147,77.75186179976852
82.35048297408734,77.90800914016484
82.68391294320112,77.88070019506608
82.48586828755093,77.98020410870832
82.75614633314066,78.23504238866397
82.70136187355008,78.1372872331788
82.61240087155959,78.20837142201862
82.82624166860448,78.3518686976744
82.45597327033192,78.27621316723949
82.80594514956043,78.45571201759522
82.91428245359631,78.58961075986069
83.1614241873918,78.76125451706184
83.0780400470314,78.67694255144026
83.08813668800939,78.6245165832362
83.33692230948233,79.03162727166948
83.02060424207504,78.7629887146974
83.38383805490643,78.91063206191589
83.15147786588904,79.01884647813392
83.18192580362357,79.08124539450627
83.36302666064982,79.0997416546328
83.66399910085097,79.300720346294
83.27571096187674,79.0703072609971
83.52384524639389,79.3729613221157
83.65619137058798,79.50597672941176
83.50945825806453,79.50057820527856
83.81021457396442,79.63898462130177
83.80067086146694,79.64611452270074
83.71077663114261,79.45177302545906
83.8579303012048,79.8481928554218
83.73455948012274,79.55596331498468
83.88237758865264,79.92830866430245
83.98895122209156,79.92314173913032
84.07299147707,79.96183901727204
83.95258960737655,79.88456372992242
84.21838832935542,80.1260734367539
84.29262946010812,80.13683077984393
83.96701616430272,79.89118210992925
84.04552705882328,79.93612604779418
84.27828497348276,80.2315699116085
84.12033768219817,80.23925360215047
84.16710871143354,80.12060416212913
84.13284983203332,80.16710862627471
84.1399686138614,80.1657411819308
84.26944534296017,80.33770696750919
84.50979330049284,80.45547580049258
84.39386152173927,80.46710992753628
84.45610250893915,80.55252492252707
84.19780424665848,80.42860871810454
84.32276399759894,80.55614216086427
84.17751396835048,80.55511334753504
84.40242480295605,80.4605430110839
84.5382250268016,80.66538256104823
84.40200992903574,80.73825315198104
84.47957637267065,80.70725578260885
84.78690982477372,80.90929120845874
84.61397287530254,80.70473002421282
84.9144211171171,81.01056798198175
84.9257413345301,81.08819008378207
84.92424079442108,80.96098429957544
84.88182892041932,81.0964944787167
85.05494012954972,81.14155340530588
84.96797645200478,81.31347683475083
85.05096209958015,81.28208965806877
85.01251197320327,81.15435923873355
84.98737726991956,81.2744210562076
85.38736385498478,81.39202673111768
85.3572559791918,81.39379230110144
85.4269492861577,81.56024124767237
85.39617026054616,81.52709669975181
85.44615220000003,81.56549986250006
85.47142745022468,81.89858387925496
85.73688536461604,81.92551824984152
85.6348808274985,82.06258954169347
86.07650485060404,82.3126575524475
86.39763090439273,82.6500561175708
