age hosp_over_cases
65 0.002628378571119976
66 0.002702979749032154
67 0.0027300592428795463
68 0.0026073958242190005
69 0.002405824025994864
70 0.0023376410111431087
71 0.0021602234142857777
72 0.0019309141837008088
73 0.0024402957614991835
74 0.0024293116888851503
75 0.002268724050826433
76 0.00192594398509092
77 0.001985406981745033
78 0.0023292831200357285
79 0.002373564257346652
80 0.002945420879343518
81 0.004147103283253108
82 0.005887791113240617
83 0.008174300457900054
84 0.011149062869755139
85 0.014379084603138657
86 0.017754112321295663
87 0.020772411544524933
88 0.024719287045497928
89 0.030833733548255506
90 0.031812680626029065
91 0.03300396701797502
92 0.03415634915122401
93 0.03535534680267342
94 0.03669398963980753
95 0.0382750232815991
96 0.04021254786848175
97 0.04263174471352549
98 0.04566348121588931
99 0.04942603192734236
