age "hosp_over_cases female" "hosp_over_cases male"
65 0.05942638445779912 0.10412195168989839
66 0.05682797327768037 0.09928876214817468
67 0.05422956209756162 0.09445557260645097
68 0.05163115091744287 0.08962238306472727
69 0.049032739737324124 0.08478919352300354
70 0.046434328557205376 0.07995600398127983
71 0.043835917377086635 0.07512281443955612
72 0.04123750619696789 0.07028962489783241
73 0.03863909501684914 0.0654564353561087
74 0.03604068383673039 0.060623245814384996
75 0.03344227265661164 0.05579005627266129
76 0.030843861476492897 0.05095686673093757
77 0.02824545029637415 0.04612367718921386
78 0.025647039116255405 0.041290487647490146
79 0.023048627936136656 0.036457298105766436
80 0.020450216756017908 0.03162410856404273
81 0.01785180557589916 0.026790919022319018
82 0.015253394395780412 0.02195772948059531
83 0.012654983215661664 0.0171245399388716
84 0.010056572035542916 0.01229135039714789
85 0.007458160855424164 0.007458160855424164
86 0.007724130817882835 0.007724130817882835
87 0.00787215502062398 0.00787215502062398
88 0.008509317596617341 0.008509317596617341
89 0.010116723447872657 0.010116723447872657
90 0.008575228049945234 0.008575228049945234
91 0.008194708448535235 0.008194708448535235
92 0.010630635461750767 0.010630635461750767
93 0.01606633399277309 0.01606633399277309
94 0.02582850809454284 0.02582850809454284
95 0.03796328114619059 0.03796328114619059
96 0.0683543721868717 0.0683543721868717
97 0.10102102651364989 0.10102102651364989
98 0.13998607881261307 0.13998607881261307
99 0.27245074797900515 0.27245074797900515
