"date","geography","geography code","Household Composition: All categories: Household composition; Bedrooms: All categories: Number of bedrooms; measures: Value","Household Composition: All categories: Household composition; Bedrooms: 1 bedroom; measures: Value","Household Composition: All categories: Household composition; Bedrooms: 2 bedrooms; measures: Value","Household Composition: All categories: Household composition; Bedrooms: 3 bedrooms; measures: Value","Household Composition: All categories: Household composition; Bedrooms: 4 or more bedrooms; measures: Value","Household Composition: One person household; Bedrooms: All categories: Number of bedrooms; measures: Value","Household Composition: One person household; Bedrooms: 1 bedroom; measures: Value","Household Composition: One person household; Bedrooms: 2 bedrooms; measures: Value","Household Composition: One person household; Bedrooms: 3 bedrooms; measures: Value","Household Composition: One person household; Bedrooms: 4 or more bedrooms; measures: Value","Household Composition: One family only: Total; Bedrooms: All categories: Number of bedrooms; measures: Value","Household Composition: One family only: Total; Bedrooms: 1 bedroom; measures: Value","Household Composition: One family only: Total; Bedrooms: 2 bedrooms; measures: Value","Household Composition: One family only: Total; Bedrooms: 3 bedrooms; measures: Value","Household Composition: One family only: Total; Bedrooms: 4 or more bedrooms; measures: Value","Household Composition: One family only: All aged 65 and over; Bedrooms: All categories: Number of bedrooms; measures: Value","Household Composition: One family only: All aged 65 and over; Bedrooms: 1 bedroom; measures: Value","Household Composition: One family only: All aged 65 and over; Bedrooms: 2 bedrooms; measures: Value","Household Composition: One family only: All aged 65 and over; Bedrooms: 3 bedrooms; measures: Value","Household Composition: One family only: All aged 65 and over; Bedrooms: 4 or more bedrooms; measures: Value","Household Composition: One family only: Married, same-sex civil partnership or cohabiting couple; Bedrooms: All categories: Number of bedrooms; measures: Value","Household Composition: One family only: Married, same-sex civil partnership or cohabiting couple; Bedrooms: 1 bedroom; measures: Value","Household Composition: One family only: Married, same-sex civil partnership or cohabiting couple; Bedrooms: 2 bedrooms; measures: Value","Household Composition: One family only: Married, same-sex civil partnership or cohabiting couple; Bedrooms: 3 bedrooms; measures: Value","Household Composition: One family only: Married, same-sex civil partnership or cohabiting couple; Bedrooms: 4 or more bedrooms; measures: Value","Household Composition: One family only: Lone parent; Bedrooms: All categories: Number of bedrooms; measures: Value","Household Composition: One family only: Lone parent; Bedrooms: 1 bedroom; measures: Value","Household Composition: One family only: Lone parent; Bedrooms: 2 bedrooms; measures: Value","Household Composition: One family only: Lone parent; Bedrooms: 3 bedrooms; measures: Value","Household Composition: One family only: Lone parent; Bedrooms: 4 or more bedrooms; measures: Value","Household Composition: Other household types; Bedrooms: All categories: Number of bedrooms; measures: Value","Household Composition: Other household types; Bedrooms: 1 bedroom; measures: Value","Household Composition: Other household types; Bedrooms: 2 bedrooms; measures: Value","Household Composition: Other household types; Bedrooms: 3 bedrooms; measures: Value","Household Composition: Other household types; Bedrooms: 4 or more bedrooms; measures: Value"
"2011","E00105680","E00105680",144,2,47,57,38,37,1,23,8,5,103,1,23,47,32,12,0,5,6,1,75,1,15,33,26,16,0,3,8,5,4,0,1,2,1
"2011","E00105686","E00105686",118,0,58,55,5,47,0,32,15,0,69,0,25,39,5,14,0,10,4,0,33,0,8,21,4,22,0,7,14,1,2,0,1,1,0
"2011","E00105688","E00105688",146,1,54,58,33,51,0,30,17,4,87,1,24,35,27,24,1,8,9,6,52,0,14,19,19,11,0,2,7,2,8,0,0,6,2
"2011","E00105721","E00105721",145,4,24,94,23,41,4,7,26,4,95,0,15,62,18,14,0,4,10,0,66,0,7,42,17,15,0,4,10,1,9,0,2,6,1
"2011","E00105722","E00105722",123,4,31,67,21,40,2,12,24,2,79,2,17,41,19,14,1,2,9,2,55,1,10,28,16,10,0,5,4,1,4,0,2,2,0
"2011","E00105723","E00105723",125,0,40,61,24,38,0,18,17,3,82,0,21,40,21,24,0,6,16,2,54,0,13,23,18,4,0,2,1,1,5,0,1,4,0
"2011","E00105725","E00105725",119,1,55,61,2,28,0,19,8,1,82,1,33,47,1,18,0,12,6,0,49,0,16,33,0,15,1,5,8,1,9,0,3,6,0
"2011","E00105729","E00105729",128,2,50,65,11,46,0,21,23,2,78,2,28,40,8,15,0,6,8,1,46,2,16,22,6,17,0,6,10,1,4,0,1,2,1
"2011","E00105792","E00105792",121,1,37,73,10,28,1,12,15,0,91,0,25,56,10,9,0,2,7,0,58,0,19,32,7,24,0,4,17,3,2,0,0,2,0
"2011","E00105794","E00105794",133,1,48,78,6,38,0,19,19,0,93,1,28,58,6,8,1,3,4,0,58,0,14,41,3,27,0,11,13,3,2,0,1,1,0
"2011","E00105796","E00105796",118,9,71,37,1,62,8,41,13,0,55,1,29,24,1,8,0,5,3,0,30,1,17,11,1,17,0,7,10,0,1,0,1,0,0
"2011","E00105808","E00105808",139,6,30,92,11,37,4,10,22,1,92,2,16,65,9,14,0,4,10,0,61,2,6,46,7,17,0,6,9,2,10,0,4,5,1
"2011","E00105810","E00105810",123,0,40,66,17,42,0,24,15,3,75,0,13,49,13,9,0,5,4,0,46,0,4,31,11,20,0,4,14,2,6,0,3,2,1
"2011","E00105798","E00105798",106,4,28,72,2,31,3,8,19,1,70,1,17,51,1,4,0,2,2,0,46,1,10,34,1,20,0,5,15,0,5,0,3,2,0
"2011","E00105799","E00105799",133,1,13,105,14,33,0,4,26,3,85,1,7,66,11,14,0,3,11,0,57,0,4,43,10,14,1,0,12,1,15,0,2,13,0
"2011","E00105800","E00105800",149,1,19,70,59,33,0,9,15,9,115,1,10,55,49,32,1,4,16,11,75,0,5,36,34,8,0,1,3,4,1,0,0,0,1
"2011","E00105801","E00105801",142,0,10,68,64,23,0,4,12,7,108,0,6,52,50,22,0,3,14,5,80,0,3,36,41,6,0,0,2,4,11,0,0,4,7
"2011","E00105850","E00105850",144,1,74,63,6,45,1,32,10,2,94,0,39,51,4,11,0,6,5,0,69,0,26,40,3,14,0,7,6,1,5,0,3,2,0
"2011","E00105851","E00105851",139,2,44,77,16,35,1,17,15,2,94,1,25,54,14,9,0,3,5,1,65,0,18,36,11,20,1,4,13,2,10,0,2,8,0
"2011","E00105852","E00105852",130,10,46,57,17,46,10,20,13,3,84,0,26,44,14,15,0,6,7,2,58,0,15,32,11,11,0,5,5,1,0,0,0,0,0
"2011","E00105853","E00105853",116,9,59,46,2,52,8,34,10,0,56,1,21,32,2,13,1,9,3,0,30,0,7,21,2,13,0,5,8,0,8,0,4,4,0
"2011","E00105854","E00105854",67,4,29,27,7,24,3,14,6,1,42,1,14,21,6,7,0,3,3,1,29,1,7,16,5,6,0,4,2,0,1,0,1,0,0
"2011","E00105855","E00105855",137,2,53,63,19,52,2,20,24,6,80,0,32,36,12,11,0,7,4,0,53,0,18,25,10,16,0,7,7,2,5,0,1,3,1
"2011","E00105863","E00105863",124,21,44,52,7,61,16,29,15,1,60,5,14,35,6,5,1,2,1,1,39,2,7,28,2,16,2,5,6,3,3,0,1,2,0
"2011","E00105864","E00105864",132,1,35,69,27,34,0,16,17,1,94,1,19,48,26,16,1,5,7,3,69,0,10,37,22,9,0,4,4,1,4,0,0,4,0
"2011","E00105866","E00105866",117,1,52,41,23,39,1,23,12,3,72,0,26,27,19,6,0,3,2,1,60,0,23,23,14,6,0,0,2,4,6,0,3,2,1
"2011","E00105868","E00105868",102,1,25,32,44,30,0,10,11,9,71,1,15,21,34,12,0,3,3,6,57,1,12,17,27,2,0,0,1,1,1,0,0,0,1
"2011","E00105861","E00105861",152,4,32,67,49,31,2,11,15,3,103,2,19,44,38,17,0,3,9,5,80,2,15,33,30,6,0,1,2,3,18,0,2,8,8
"2011","E00105862","E00105862",143,2,58,54,29,51,2,28,16,5,87,0,30,35,22,18,0,12,3,3,60,0,15,28,17,9,0,3,4,2,5,0,0,3,2
"2011","E00105865","E00105865",121,6,51,45,19,34,3,19,9,3,82,3,29,35,15,15,1,6,7,1,59,1,20,24,14,8,1,3,4,0,5,0,3,1,1
"2011","E00105867","E00105867",121,0,37,57,27,31,0,17,12,2,89,0,20,44,25,14,0,12,2,0,64,0,6,35,23,11,0,2,7,2,1,0,0,1,0
"2011","E00105871","E00105871",120,5,64,51,0,47,4,32,11,0,66,1,30,35,0,2,0,0,2,0,41,0,20,21,0,23,1,10,12,0,7,0,2,5,0
"2011","E00105873","E00105873",116,16,25,70,5,38,16,10,11,1,73,0,13,57,3,4,0,0,4,0,42,0,4,36,2,27,0,9,17,1,5,0,2,2,1
"2011","E00105874","E00105874",122,4,57,55,6,51,4,33,12,2,68,0,23,41,4,6,0,3,3,0,51,0,18,29,4,11,0,2,9,0,3,0,1,2,0
"2011","E00105875","E00105875",118,4,54,44,16,36,3,26,7,0,79,1,28,35,15,13,1,8,4,0,50,0,15,21,14,16,0,5,10,1,3,0,0,2,1
"2011","E00105869","E00105869",145,5,81,41,18,57,4,38,9,6,76,0,39,29,8,16,0,11,5,0,43,0,18,18,7,17,0,10,6,1,12,1,4,3,4
"2011","E00105870","E00105870",149,4,64,49,32,48,3,28,11,6,92,1,32,36,23,19,0,6,8,5,63,1,22,25,15,10,0,4,3,3,9,0,4,2,3
"2011","E00105872","E00105872",125,8,63,45,9,40,8,29,3,0,84,0,34,41,9,10,0,5,5,0,65,0,25,32,8,9,0,4,4,1,1,0,0,1,0
"2011","E00105876","E00105876",130,0,62,59,9,43,0,31,11,1,83,0,30,46,7,18,0,11,7,0,57,0,16,36,5,8,0,3,3,2,4,0,1,2,1
"2011","E00105877","E00105877",160,0,36,106,18,46,0,21,24,1,107,0,13,79,15,17,0,4,12,1,75,0,5,57,13,15,0,4,10,1,7,0,2,3,2
"2011","E00105878","E00105878",46,0,7,18,21,12,0,5,4,3,32,0,2,14,16,4,0,0,3,1,25,0,2,9,14,3,0,0,2,1,2,0,0,0,2
"2011","E00105879","E00105879",124,16,46,47,15,51,15,20,15,1,70,1,25,32,12,17,1,8,5,3,39,0,13,22,4,14,0,4,5,5,3,0,1,0,2
"2011","E00105880","E00105880",135,3,18,64,50,28,3,9,13,3,104,0,9,49,46,29,0,5,16,8,70,0,4,31,35,5,0,0,2,3,3,0,0,2,1
"2011","E00105881","E00105881",114,11,38,34,31,48,8,20,10,10,63,3,18,24,18,14,0,5,6,3,47,3,12,17,15,2,0,1,1,0,3,0,0,0,3
"2011","E00105882","E00105882",205,4,67,69,65,55,4,26,20,5,143,0,40,47,56,32,0,8,12,12,87,0,21,26,40,24,0,11,9,4,7,0,1,2,4
"2011","E00105888","E00105888",90,1,22,34,33,16,1,6,5,4,65,0,13,27,25,10,0,3,4,3,44,0,6,19,19,11,0,4,4,3,9,0,3,2,4
"2011","E00105889","E00105889",115,9,23,57,26,38,5,9,21,3,72,3,12,35,22,14,0,4,7,3,48,3,5,21,19,10,0,3,7,0,5,1,2,1,1
"2011","E00105890","E00105890",118,2,14,60,42,24,2,6,11,5,87,0,7,47,33,17,0,2,9,6,65,0,4,34,27,5,0,1,4,0,7,0,1,2,4
"2011","E00105886","E00105886",184,5,41,62,76,44,3,18,14,9,125,1,19,44,61,20,0,6,8,6,100,1,12,33,54,5,0,1,3,1,15,1,4,4,6
"2011","E00105887","E00105887",75,1,12,36,26,16,0,1,9,6,52,1,11,24,16,7,0,1,3,3,43,1,10,21,11,2,0,0,0,2,7,0,0,3,4
"2011","E00105891","E00105891",150,8,44,59,39,48,7,21,11,9,96,1,23,45,27,12,0,3,6,3,80,1,17,38,24,4,0,3,1,0,6,0,0,3,3
"2011","E00105892","E00105892",135,13,50,54,18,49,11,19,17,2,84,2,30,36,16,12,0,9,3,0,68,2,21,29,16,4,0,0,4,0,2,0,1,1,0
"2011","E00105893","E00105893",130,2,35,65,28,35,1,13,17,4,88,1,21,45,21,18,1,6,8,3,63,0,12,34,17,7,0,3,3,1,7,0,1,3,3
"2011","E00105894","E00105894",133,4,52,55,22,30,2,14,11,3,95,2,34,43,16,14,1,5,7,1,71,1,26,31,13,10,0,3,5,2,8,0,4,1,3
"2011","E00105895","E00105895",115,14,34,44,23,41,13,15,11,2,72,1,19,33,19,9,0,6,2,1,58,1,10,29,18,5,0,3,2,0,2,0,0,0,2
