"date","geography","geography code","Rural Urban","Household Composition: All categories: Household composition; measures: Value","Household Composition: One person household; measures: Value","Household Composition: One person household: Aged 65 and over; measures: Value","Household Composition: One person household: Other; measures: Value","Household Composition: One family household; measures: Value","Household Composition: One family only: All aged 65 and over; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: No children; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: Dependent children; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: All children non-dependent; measures: Value","Household Composition: One family only: Cohabiting couple; measures: Value","Household Composition: One family only: Cohabiting couple: No children; measures: Value","Household Composition: One family only: Cohabiting couple: Dependent children; measures: Value","Household Composition: One family only: Cohabiting couple: All children non-dependent; measures: Value","Household Composition: One family only: Lone parent; measures: Value","Household Composition: One family only: Lone parent: Dependent children; measures: Value","Household Composition: One family only: Lone parent: All children non-dependent; measures: Value","Household Composition: Other household types; measures: Value","Household Composition: Other household types: With dependent children; measures: Value","Household Composition: Other household types: All full-time students; measures: Value","Household Composition: Other household types: All aged 65 and over; measures: Value","Household Composition: Other household types: Other; measures: Value"
"2011","E00061506","E00061506","Total",137,32,12,20,100,10,45,19,19,7,24,9,14,1,21,14,7,5,4,0,0,1
"2011","E00061512","E00061512","Total",139,28,13,15,101,6,49,15,23,11,17,2,14,1,29,19,10,10,4,0,0,6
"2011","E00061514","E00061514","Total",128,42,27,15,76,7,36,15,13,8,15,5,8,2,18,13,5,10,4,0,0,6
"2011","E00061518","E00061518","Total",135,27,20,7,103,7,51,9,24,18,24,7,14,3,21,13,8,5,3,0,0,2
"2011","E00061519","E00061519","Total",135,44,25,19,83,6,43,21,10,12,15,4,8,3,19,11,8,8,4,0,0,4
"2011","E00061507","E00061507","Total",154,37,20,17,111,11,51,17,20,14,27,11,13,3,22,12,10,6,3,0,0,3
"2011","E00061508","E00061508","Total",141,45,25,20,89,10,46,13,17,16,10,4,5,1,23,17,6,7,2,0,1,4
"2011","E00061515","E00061515","Total",99,29,4,25,59,2,20,5,13,2,15,5,10,0,22,15,7,11,7,0,1,3
"2011","E00061516","E00061516","Total",109,40,9,31,60,1,20,6,12,2,19,9,9,1,20,15,5,9,6,0,0,3
"2011","E00061517","E00061517","Total",107,32,5,27,68,4,18,9,7,2,10,2,8,0,36,26,10,7,3,0,1,3
"2011","E00061600","E00061600","Total",129,31,14,17,91,15,37,13,15,9,16,9,6,1,23,11,12,7,5,0,1,1
"2011","E00061601","E00061601","Total",152,32,14,18,114,16,55,19,25,11,20,9,10,1,23,12,11,6,5,0,0,1
"2011","E00061606","E00061606","Total",120,25,14,11,88,14,39,11,18,10,11,3,6,2,24,17,7,7,5,0,0,2
"2011","E00061610","E00061610","Total",115,17,4,13,88,7,32,11,16,5,19,4,13,2,30,22,8,10,7,0,0,3
"2011","E00061611","E00061611","Total",127,29,12,17,88,9,37,9,22,6,15,4,10,1,27,18,9,10,5,0,0,5
"2011","E00061602","E00061602","Total",121,40,19,21,69,17,30,11,10,9,8,4,4,0,14,9,5,12,8,0,1,3
"2011","E00061607","E00061607","Total",132,40,19,21,88,5,36,7,19,10,18,3,12,3,29,26,3,4,1,0,0,3
"2011","E00061608","E00061608","Total",137,50,13,37,75,6,19,4,12,3,16,9,7,0,34,24,10,12,2,0,0,10
"2011","E00061612","E00061612","Total",108,19,7,12,81,5,32,9,17,6,21,5,15,1,23,15,8,8,4,0,0,4
"2011","E00061603","E00061603","Total",143,38,12,26,99,16,46,12,20,14,13,5,7,1,24,17,7,6,4,0,0,2
"2011","E00061604","E00061604","Total",129,28,10,18,89,8,31,6,20,5,15,5,9,1,35,29,6,12,7,0,0,5
"2011","E00061605","E00061605","Total",122,31,13,18,78,9,24,7,8,9,16,3,10,3,29,16,13,13,3,0,0,10
"2011","E00061609","E00061609","Total",125,33,19,14,85,13,37,11,15,11,14,5,8,1,21,19,2,7,3,0,0,4
"2011","E00061741","E00061741","Total",122,85,5,80,30,0,6,3,2,1,17,15,1,1,7,4,3,7,1,0,0,6
"2011","E00061746","E00061746","Total",129,35,21,14,88,23,38,17,14,7,10,5,3,2,17,14,3,6,5,0,0,1
"2011","E00061750","E00061750","Total",114,23,10,13,86,12,40,12,18,10,18,6,10,2,16,9,7,5,0,0,1,4
"2011","E00061751","E00061751","Total",117,40,23,17,69,16,15,7,5,3,16,3,13,0,22,11,11,8,3,0,1,4
"2011","E00061755","E00061755","Total",126,39,18,21,83,9,34,14,16,4,16,3,12,1,24,17,7,4,2,0,0,2
"2011","E00061756","E00061756","Total",121,33,9,24,81,13,21,7,10,4,20,7,11,2,27,22,5,7,3,0,0,4
"2011","E00061923","E00061923","Total",122,35,14,21,84,4,55,24,21,10,13,6,6,1,12,10,2,3,1,0,0,2
