"date","geography","geography code","Rural Urban","Age: All usual residents; measures: Value","Age: Age 0 to 4; measures: Value","Age: Age 5 to 7; measures: Value","Age: Age 8 to 9; measures: Value","Age: Age 10 to 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16 to 17; measures: Value","Age: Age 18 to 19; measures: Value","Age: Age 20 to 24; measures: Value","Age: Age 25 to 29; measures: Value","Age: Age 30 to 44; measures: Value","Age: Age 45 to 59; measures: Value","Age: Age 60 to 64; measures: Value","Age: Age 65 to 74; measures: Value","Age: Age 75 to 84; measures: Value","Age: Age 85 to 89; measures: Value","Age: Age 90 and over; measures: Value","Age: Mean Age; measures: Value","Age: Median Age; measures: Value"
"2011","HD - Huddersfield","HD - Huddersfield","Total",262814,16325,9163,5816,15227,3253,6363,7167,18237,16129,53406,52640,16881,22843,13963,3572,1829,39.4,40.0
"2011","HG - Harrogate","HG - Harrogate","Total",138343,7708,4564,3007,8087,1685,3454,2783,6572,7429,27150,29462,9281,13811,9228,2629,1493,42.0,43.0
"2011","HP - Hemel Hempstead","HP - Hemel Hempstead","Total",488351,32619,18202,11644,30852,6398,12830,10690,26697,29154,103664,99822,28517,40186,26428,6980,3668,39.1,39.0
"2011","HR - Hereford","HR - Hereford","Total",176493,9367,5368,3481,10000,2143,4357,3802,9185,9459,31938,37147,12988,19450,12720,3375,1713,42.8,44.0
"2011","HU - Hull","HU - Hull","Total",443223,26254,14353,9007,24552,5416,11093,12768,32946,28442,85944,88446,28719,39393,26301,6379,3210,40.0,40.0
"2011","HX - Halifax","HX - Halifax","Total",160378,10464,5980,3696,10080,2232,4136,3810,9085,9789,33088,33176,10155,13426,8069,2137,1055,39.1,40.0
"2011","IG - Ilford","IG - Ilford","Total",335694,26939,14306,8980,22670,4530,9128,8237,23474,27984,75838,58402,15027,20342,13821,3930,2086,35.4,33.0
"2011","IP - Ipswich","IP - Ipswich","Total",595934,34888,19810,12500,34871,7392,15084,12816,33330,35690,112291,118553,41860,60427,39760,10811,5851,41.5,42.0
"2011","KT - Kingston upon Thames","KT - Kingston upon Thames","Total",531664,35144,19340,11993,31380,6320,12613,11887,30323,30832,118705,106069,31313,42765,29244,8806,4930,39.5,39.0
"2011","L - Liverpool","L - Liverpool","Total",857079,47673,26037,16713,47540,10430,21240,29180,75936,61791,161530,171255,49425,72217,50146,10908,5058,39.2,39.0
"2011","LA - Lancaster","LA - Lancaster","Total",328704,16208,9423,6135,18121,3909,8141,10495,22350,17337,58082,67333,23813,35928,22336,5925,3168,42.3,43.0
"2011","LE - Leicester","LE - Leicester","Total",985795,60561,34364,21553,58561,12326,26022,30832,76766,65056,194842,191647,58717,81574,52047,13996,6931,38.8,38.0
"2011","LN - Lincoln","LN - Lincoln","Total",293310,15078,8451,5358,16043,3449,6937,8758,20344,16650,51929,58704,21281,32821,19816,5082,2609,42.1,43.0
"2011","LS - Leeds","LS - Leeds","Total",774180,48773,25833,15932,41540,9185,17768,27027,72356,59899,158778,138615,42215,59392,41054,10416,5397,38.0,36.0
"2011","LU - Luton","LU - Luton","Total",335950,24986,13646,8427,21271,4492,8945,8248,23668,26486,71246,62493,17001,24137,15600,3565,1739,36.7,35.0
"2011","M - Manchester","M - Manchester","Total",1167402,80667,41693,24952,65767,14089,27526,38792,111993,105248,250144,201735,56111,78492,50874,12924,6395,36.2,33.0
"2011","ME - Medway","ME - Medway","Total",607143,39018,21991,14095,38425,7878,16625,15882,38232,38256,124000,120824,38047,52075,30400,7500,3895,38.8,39.0
"2011","MK - Milton Keynes","MK - Milton Keynes","Total",507978,35573,19659,12210,32521,6839,13534,11466,28939,34627,112371,102182,29413,37473,22343,5940,2888,37.8,38.0
"2011","N - London N","N - London N","Total",848197,60290,31065,19050,47748,9495,18741,18499,65918,95665,224795,139318,32761,45555,28365,7072,3860,34.9,33.0
"2011","NE - Newcastle upon Tyne","NE - Newcastle upon Tyne","Total",1162698,65565,36574,23404,63326,13789,27390,34017,86015,75996,222325,239866,75299,104489,68990,17219,8434,40.3,40.0
"2011","NG - Nottingham","NG - Nottingham","Total",1163185,69503,38157,24201,65784,14017,28684,36448,90921,74530,231475,228017,70252,101891,64288,16955,8062,39.4,39.0
"2011","NN - Northampton","NN - Northampton","Total",653215,44158,24036,15045,39511,8063,16403,15338,38225,42165,139327,130888,41351,54037,31682,8630,4356,38.9,39.0
"2011","NR - Norwich","NR - Norwich","Total",722087,38989,21524,13813,39283,8827,17054,17539,44316,41096,130327,141312,53056,80143,52801,14387,7620,42.6,43.0
"2011","NW - London NW","NW - London NW","Total",551407,39829,20123,12258,30022,6026,11836,12490,43467,61428,142445,88654,22355,31987,20312,5313,2862,35.3,33.0
"2011","OL - Oldham","OL - Oldham","Total",462833,33451,18611,11733,30761,6362,12727,11710,30016,30990,94090,88398,27424,36870,21195,5705,2790,37.6,37.0
"2011","OX - Oxford","OX - Oxford","Total",612827,38295,20628,12893,34743,7273,14773,18200,46151,45011,126853,117287,35259,50017,31996,8729,4719,38.8,38.0
"2011","PE - Peterborough","PE - Peterborough","Total",890223,52384,28718,18706,51923,11400,22337,19169,50037,54133,171374,178704,61128,90609,57402,14766,7433,41.3,42.0
"2011","PL - Plymouth","PL - Plymouth","Total",542719,29886,16580,10689,30300,6608,13034,14955,37753,32087,97542,110029,38734,56214,34194,9142,4972,41.4,42.0
"2011","PO - Portsmouth","PO - Portsmouth","Total",822331,45912,25869,16210,45730,9864,19651,23317,56582,49460,150898,161032,54168,82990,56235,15779,8634,41.5,42.0
"2011","PR - Preston","PR - Preston","Total",520556,30226,17210,10806,29580,6215,12587,13658,34984,31564,100670,105751,34326,49708,31053,8086,4132,40.6,41.0
"2011","RG - Reading","RG - Reading","Total",778677,53263,28313,17585,47194,10014,19735,17748,45202,51467,175591,156501,44262,60461,36681,9630,5030,38.4,38.0
"2011","RH - Redhill","RH - Redhill","Total",532536,33493,19081,11996,33130,6671,13889,10701,26451,31029,112952,110341,33368,45093,30862,8636,4843,40.1,41.0
"2011","RM - Romford","RM - Romford","Total",516824,38571,20757,12552,32991,6994,14177,12777,33088,35268,111597,97104,26758,36418,26876,7516,3380,37.5,37.0
"2011","S - Sheffield","S - Sheffield","Total",1358507,80906,45359,28187,77227,16364,33641,42738,102056,85974,266827,265236,82788,124530,76830,19864,9980,39.7,40.0
"2011","SE - London SE","SE - London SE","Total",988702,77126,37228,21297,53694,11232,21732,24493,80258,100681,268510,168042,35296,47454,29843,7806,4010,34.3,33.0
"2011","SG - Stevenage","SG - Stevenage","Total",402911,26055,14542,9224,24644,5249,10596,8507,20563,23664,87441,84316,24207,33364,21776,5742,3021,39.5,40.0
"2011","SK - Stockport","SK - Stockport","Total",603795,35741,20457,12856,35823,7483,15232,13422,32168,33432,120681,128249,40632,56942,36377,9344,4956,40.9,42.0
"2011","SL - Slough","SL - Slough","Total",373607,27139,14676,9153,23737,4820,9975,7449,20394,26168,84790,71433,19735,27912,18618,4893,2715,37.9,37.0
"2011","SM - Sutton","SM - Sutton","Total",217048,14091,7794,4855,13238,2751,5720,4584,12317,14846,49605,42627,11964,16237,11398,3255,1766,38.8,38.0
"2011","SN - Swindon","SN - Swindon","Total",459049,28902,16471,10443,28501,6015,12083,10206,24371,26977,97559,96368,27926,39123,24396,6429,3279,39.6,40.0
"2011","SO - Southampton","SO - Southampton","Total",665193,39002,21433,13383,36646,7975,15888,20727,52972,42634,129226,129271,41121,58793,39292,10893,5937,39.9,39.0
"2011","SP - Salisbury","SP - Salisbury","Total",232524,14225,8006,5235,13980,2879,5614,5315,13636,13642,45131,47055,15062,21988,14415,4142,2199,40.7,41.0
"2011","SR - Sunderland","SR - Sunderland","Total",250826,13941,7702,4842,13778,3085,6166,7265,18601,15690,47055,52621,15391,23103,16558,3469,1559,40.6,41.0
"2011","SS - Southend-on-Sea","SS - Southend-on-Sea","Total",518677,30956,17424,11284,31331,6731,13461,11883,29154,30307,104696,102973,34576,48968,32039,8482,4412,40.6,41.0
"2011","ST - Stoke-on-Trent","ST - Stoke-on-Trent","Total",644068,37123,21214,12925,36352,7429,15995,17418,43574,38859,124577,129430,43265,63290,38241,9652,4724,40.6,41.0
"2011","SW - London SW","SW - London SW","Total",874844,59004,27315,15944,37255,7094,13807,16058,68760,120781,255532,135977,32921,45278,27538,7449,4131,35.3,33.0
"2011","SY - Shrewsbury","SY - Shrewsbury","Total",342140,17256,10392,6885,19835,4296,8910,9943,22094,16971,59654,71244,24687,37356,23092,6331,3194,42.2,43.0
"2011","TA - Taunton","TA - Taunton","Total",322197,17254,9882,6381,18265,4148,8259,6983,16990,15988,55356,67066,24364,36390,24184,7007,3680,43.3,45.0
"2011","TD - Galashiels","TD - Galashiels","Total",18324,946,534,357,926,199,398,370,908,959,3020,3987,1516,2236,1391,355,222,44.3,47.0
"2011","TF - Telford","TF - Telford","Total",212061,13775,7542,4755,13212,2834,5793,5728,13396,13043,42583,42885,13611,18959,10226,2469,1250,39.0,39.0
"2011","TN - Tonbridge","TN - Tonbridge","Total",680816,39602,23578,15456,42803,8741,18518,14837,32953,33574,128071,141156,48312,68687,44650,12540,7338,41.7,43.0
"2011","TQ - Torquay","TQ - Torquay","Total",281404,13616,8162,5271,15353,3394,6744,6011,13626,13110,46282,59934,22936,33915,22328,6858,3864,44.7,47.0
"2011","TR - Truro","TR - Truro","Total",293864,15127,8551,5685,16259,3515,6753,7514,17131,15236,52760,59979,22990,33119,20654,5611,2980,42.9,44.0
"2011","TS - Cleveland","TS - Cleveland","Total",602474,37188,20997,12895,35932,7707,16175,16790,40512,37718,111776,124493,38075,55058,35146,8270,3742,39.8,40.0
"2011","TW - Twickenham","TW - Twickenham","Total",490472,35665,17595,10428,26481,5669,11074,11986,33459,40066,119711,90429,24166,33113,21750,5796,3084,37.2,36.0
