ages icu_hosp_ratio_female icu_hosp_ratio_male
0 0.09896087779618506 0.09957447135963311
1 0.09896087779618506 0.09957447135963311
2 0.09896087779618506 0.09957447135963311
3 0.09896087779618506 0.09957447135963311
4 0.09896087779618506 0.09957447135963311
5 0.09896087779618506 0.09957447135963311
6 0.09896087779618506 0.09957447135963311
7 0.09896087779618506 0.09957447135963311
8 0.09896087779618506 0.09957447135963311
9 0.09896087779618506 0.09957447135963311
10 0.09896087779618506 0.09957447135963311
11 0.09896087779618506 0.09957447135963311
12 0.09896087779618506 0.09957447135963311
13 0.09896087779618506 0.09957447135963311
14 0.09896087779618506 0.09957447135963311
15 0.09896087779618506 0.09957447135963311
16 0.09896087779618506 0.09957447135963311
17 0.09896087779618506 0.09957447135963311
18 0.09896087779618506 0.09957447135963311
19 0.09896087779618506 0.09957447135963311
20 0.09896087779618506 0.09957447135963311
21 0.09896087779618506 0.09957447135963311
22 0.09600778615625236 0.1122938687230175
23 0.09485762627807393 0.12499736116913499
24 0.09527565923027105 0.13745502186787859
25 0.09704887123864454 0.14948532900443695
26 0.09998432011774983 0.16095018176910747
27 0.10390754926909539 0.1717501304394057
28 0.10866106924596475 0.1818198205544712
29 0.1141029068848616 0.19112365118176966
30 0.12010522200357836 0.1996516472760916
31 0.12655299166588815 0.20741554613084712
32 0.13334276201286002 0.21444509792165722
33 0.14038146766079762 0.2207845803422418
34 0.14758531866580119 0.22648952733260314
35 0.1548787550549528 0.23162367189950678
36 0.16219346892412534 0.23625610302925826
37 0.1694674941024142 0.24045863669277584
38 0.17664436338319298 0.2443034009429607
39 0.18367233332179211 0.24786063510436235
40 0.190503676599801 0.25119670305514097
41 0.19709404195599353 0.25437232060132636
42 0.20340188168387707 0.25744099694337247
43 0.20938794669586425 0.2604476902350092
44 0.21501484915406893 0.26342767723439
45 0.220246692667725 0.266405637047536
46 0.22504877005722837 0.26939494896407656
47 0.229387328684803 0.2723972043852858
48 0.23322940335178963 0.2754019328444169
49 0.23654271676255817 0.2783865421193298
50 0.23929564755504323 0.28131647243741936
51 0.24145725364137172 0.2841455503494156
52 0.2427682647908179 0.287610915728292
53 0.24365957994261928 0.28977508832002385
54 0.24359785421821298 0.29072147869490883
55 0.2437414610627525 0.29249862142142946
56 0.24297756856342137 0.29376065436042126
57 0.24114409837415746 0.2942535793285754
58 0.23933485998323076 0.2968388877790761
59 0.23571407608112852 0.29754233295177757
60 0.2304586086794023 0.2962940806808605
61 0.223185606834318 0.2920067348544346
62 0.21631213633473548 0.28749008274763893
63 0.2087414554499404 0.28176493168487915
64 0.20052629889062065 0.2748318702962204
65 0.19172369769296768 0.26671194826966377
66 0.18239463333995737 0.257446775114607
67 0.17260370536168285 0.24709831162458923
68 0.1624188237437152 0.2357483688617133
69 0.151910926143489 0.22349781466277055
70 0.14115371991471634 0.21046548766703255
71 0.13022344893982385 0.19678681886576202
72 0.11919868527042424 0.18261216067336108
73 0.10816014557580401 0.16810482352027106
74 0.09719053239944661 0.1534388199675037
75 0.08637440022358062 0.13879631634287645
76 0.07579804634174395 0.1243647918989725
77 0.06554942653939673 0.11033390549271546
78 0.05571809558253818 0.09689206978670173
79 0.046395172514363134 0.08422273297218219
80 0.037673330759942586 0.0725003680137245
81 0.029646813038925968 0.06188616941561548
82 0.022411471086282275 0.052523457509871946
83 0.016064830181052647 0.04453279026599882
84 0.010706178483140677 0.03800678262242832
85 0.006436681178123876 0.03300463333961276
86 0.003359519430093605 0.029546359374838044
87 0.001580054142524906 0.027606737778712448
88 0.0012060145271651501 0.02710895511333833
89 0.0005835796037357907 0.02771494214634576
90 0.0005835796037357907 0.02771494214634576
91 0.0005835796037357907 0.02771494214634576
92 0.0005835796037357907 0.02771494214634576
93 0.0005835796037357907 0.02771494214634576
94 0.0005835796037357907 0.02771494214634576
95 0.0005835796037357907 0.02771494214634576
96 0.0005835796037357907 0.02771494214634576
97 0.0005835796037357907 0.02771494214634576
98 0.0005835796037357907 0.02771494214634576
99 0.0005835796037357907 0.02771494214634576
100 0.0005835796037357907 0.02771494214634576
101 0.0005835796037357907 0.02771494214634576
102 0.0005835796037357907 0.02771494214634576
103 0.0005835796037357907 0.02771494214634576
104 0.0005835796037357907 0.02771494214634576
105 0.0005835796037357907 0.02771494214634576
106 0.0005835796037357907 0.02771494214634576
107 0.0005835796037357907 0.02771494214634576
108 0.0005835796037357907 0.02771494214634576
109 0.0005835796037357907 0.02771494214634576
110 0.0005835796037357907 0.02771494214634576
111 0.0005835796037357907 0.02771494214634576
112 0.0005835796037357907 0.02771494214634576
113 0.0005835796037357907 0.02771494214634576
114 0.0005835796037357907 0.02771494214634576
115 0.0005835796037357907 0.02771494214634576
116 0.0005835796037357907 0.02771494214634576
117 0.0005835796037357907 0.02771494214634576
118 0.0005835796037357907 0.02771494214634576
119 0.0005835796037357907 0.02771494214634576
120 0.0005835796037357907 0.02771494214634576
