age "hosp_over_cases female" "hosp_over_cases male"
65 0.10491807989155805 0.09514845067889151
66 0.10469409781712376 0.09423365263458076
67 0.10447011574268948 0.09331885459027002
68 0.10424613366825519 0.09240405654595928
69 0.10402215159382092 0.09148925850164853
70 0.10379816951938663 0.09057446045733779
71 0.10357418744495234 0.08965966241302704
72 0.10335020537051806 0.0887448643687163
73 0.10312622329608377 0.08783006632440556
74 0.1029022412216495 0.08691526828009481
75 0.1026782591472152 0.08600047023578408
76 0.10242891528757074 0.08531858224280416
77 0.10217957142792629 0.08463669424982423
78 0.10193022756828184 0.0839548062568443
79 0.10168088370863737 0.08327291826386438
80 0.10143153984899292 0.08259103027088444
81 0.10118219598934847 0.08190914227790452
82 0.10093285212970403 0.0812272542849246
83 0.10068350827005959 0.08054536629194467
84 0.10043416441041514 0.07986347829896473
85 0.10018482055077069 0.0791815903059848
86 0.1000625708570406 0.07909356264696624
87 0.0999403211633105 0.07900553498794767
88 0.09981807146958041 0.0789175073289291
89 0.09969582177585032 0.07882947966991054
90 0.09954578806081792 0.07872144572475143
91 0.09939575434578553 0.07861341177959227
92 0.09924572063075314 0.07850537783443313
93 0.09909568691572075 0.07839734388927398
94 0.09894565320068836 0.07828930994411484
95 0.09879561948565597 0.07818127599895569
96 0.09864558577062359 0.07807324205379655
97 0.0984955520555912 0.0779652081086374
98 0.09834551834055881 0.07785717416347826
99 0.09819548462552642 0.07774914021831911
