ages hosp_cases_ratio_female hosp_cases_ratio_male
0 0.0022428753660882652 0.0033329544673341926
1 0.002149211806378418 0.0032055352625082944
2 0.0020782831324417687 0.0031055907934079557
3 0.0020161952107211386 0.003009970853943622
4 0.0020197614866454216 0.003012366979149847
5 0.0017495798352469452 0.0025507686369965464
6 0.0014664155737769504 0.0020663959303726985
7 0.001183127194926941 0.0015940785108288012
8 0.0009665824141746444 0.001200070806513456
9 0.0007357710378856986 0.0007909214515089647
10 0.0007476979020387243 0.00080726653626498
11 0.0007415741914924398 0.000804196903861102
12 0.0007670887106450054 0.0008346769854298032
13 0.0007793453731468506 0.000858325309985368
14 0.0008118144574019911 0.0009003989296788487
15 0.0010144499028126646 0.0009849774294649566
16 0.0012408578129688309 0.0010820532116942686
17 0.0014564977902043327 0.0011686309787666523
18 0.0015949641397933214 0.0012057598338692831
19 0.0017306572020254686 0.0012271597684498986
20 0.0019432349133247523 0.0014167981877599217
21 0.0022017182032989433 0.0016249425721508045
22 0.002391668965061619 0.0017959623661435028
23 0.0026477004587650357 0.0019982583280334244
24 0.0028968378201249026 0.002233142144094641
25 0.0033730538531586878 0.0024124781689665886
26 0.003869635375977352 0.002651664788909285
27 0.004228282200381262 0.002823462470607343
28 0.004670820753698136 0.0029590384802233873
29 0.005258219092274653 0.003229628683894389
30 0.005507804630228293 0.003669455610817708
31 0.005660431749211078 0.004031808602519605
32 0.00600601375946439 0.004555453580055478
33 0.006265781871129017 0.004840463054617999
34 0.006514188144726584 0.005226950285655908
35 0.00853056798289948 0.00765143955078254
36 0.008494698198245703 0.008350663506365682
37 0.008550859890732811 0.009137788808403017
38 0.008555209733185605 0.009790410139814826
39 0.008589008721902892 0.010502758764433412
40 0.00920471696783097 0.011961476955041926
41 0.010125701177179638 0.013954242643330303
42 0.010511982948123205 0.015334754209836583
43 0.01052346866934695 0.01629492904000947
44 0.010564331860987715 0.01710080024394786
45 0.010890991929255819 0.017671349547982683
46 0.01142502440009923 0.018472406770311773
47 0.011903255015596905 0.019187082003992273
48 0.012351009618979435 0.0201550231702488
49 0.013590295692879029 0.022125864820314763
50 0.014306360155059743 0.023177173657129714
51 0.015374572278998458 0.02477900076248037
52 0.016251491935685772 0.02585801310373772
53 0.017207715672719375 0.027581304546033813
54 0.018158130305309137 0.0289709384575365
55 0.020517798982653643 0.033147513859826186
56 0.021650119645916975 0.03545202417709458
57 0.022849131135318942 0.03771102149365355
58 0.024343023192574198 0.04074014043850577
59 0.02605340053007314 0.04426248909248624
60 0.02701254905440134 0.045961274092655886
61 0.027972183475963062 0.04758444203376927
62 0.02940315340790641 0.05022034014006671
63 0.030895128304314633 0.05282063238173335
64 0.0323279179445179 0.05572315014745246
65 0.05803327078915915 0.10242251624895682
66 0.05957874135702547 0.10561411610544431
67 0.06156688413962564 0.11089947195959483
68 0.06171012132490564 0.1121471690257433
69 0.06100928001920932 0.11208279683846366
70 0.06450556393544876 0.11565028795278429
71 0.0652255996477985 0.11613579705409445
72 0.0642091360821565 0.11286672007820948
73 0.08661657260762476 0.15270913549053683
74 0.0941318458234539 0.1654625490656177
75 0.09824784400433516 0.1688149926880984
76 0.10882278025920875 0.18853998465173744
77 0.12459452278947136 0.21742960502694017
78 0.14201658395823838 0.24886370285013865
79 0.14322826722271265 0.24958939678833342
80 0.16076499195496716 0.2638285673563715
81 0.1708719841156409 0.2779804001313775
82 0.18517559908739123 0.3003264288597147
83 0.2012833881757745 0.3248556586621947
84 0.22017354022634922 0.35114319105645
85 0.28470483608806296 0.3898582200311371
86 0.3093063443023867 0.40851334657825483
87 0.33007915638430085 0.4227431433499174
88 0.35952955080303167 0.4412328340435053
89 0.406647160801016 0.4682590770149982
90 0.5018131388132601 0.3555305288194085
91 0.4832544437852708 0.34641746673708723
92 0.4133299158219086 0.33221569790183564
93 0.40589132686564855 0.3248401882281962
94 0.4411927725284583 0.3232572666694949
95 0.43890760165497156 0.31421712382523315
96 0.438193758073239 0.31088965005217134
97 0.41942809142622195 0.2967366872221213
98 0.37681649415744317 0.2850546723840484
99 0.37681649415744317 0.3112466880939974
