age phisioage_ch_female phisioage_ch_male
65 90.80171680964052 95.27335003186147
66 91.04640443532635 95.63751703083273
67 91.30400363322238 96.00078930520498
68 91.56324648266994 96.41200995794435
69 91.824132983669 96.82210791079949
70 92.09188470633265 97.26726398632567
71 92.37197533620778 97.73897424592447
72 92.65380864984343 98.24825553426167
73 92.93738464723957 98.80445298167139
74 93.23698179944272 99.44097080429066
75 93.54244790674544 100.1556552873717
76 93.84976842878186 101.04675115808988
77 94.16983202956226 102.49585446019704
78 94.50216893356504 105.0
79 94.83648729188512 105.0
80 95.18549470993355 105.0
81 95.54865482922095 105.0
82 95.91394212862892 105.0
83 96.30369156532632 105.0
84 96.7025685840929 105.0
85 97.11268709500608 105.0
86 97.55094659169289 105.0
87 97.99170011410332 105.0
88 98.4759915301879 105.0
89 98.96379554025543 105.0
90 99.50166895233578 105.0
91 100.05171738755816 105.0
92 100.66309488630202 105.0
93 101.3144079275349 105.0
94 102.01597753339416 105.0
95 102.82585399884488 105.0
96 103.7544793066416 105.0
97 105.0 105.0
98 105.0 105.0
99 105.0 105.0
100 105.0 105.0
101 105.0 105.0
102 105.0 105.0
103 105.0 105.0
104 105.0 105.0
